"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2017","3,325.80","3,326.15","3,475.50","3,320.05","","-0.01%"
"03/07/2017","3,326.15","3,472.50","3,472.50","3,324.00","","-4.21%"
"03/06/2017","3,472.50","3,305.55","3,472.50","3,305.55","","5.05%"
"03/05/2017","3,305.55","3,305.55","3,305.55","3,305.55","","-3.63%"
"03/03/2017","3,430.00","3,340.40","3,430.00","3,330.55","","2.68%"
"03/02/2017","3,340.40","3,430.00","3,430.00","3,335.80","","-2.61%"
"03/01/2017","3,430.00","3,427.50","3,430.00","3,340.75","","0.07%"
"02/28/2017","3,427.50","3,426.00","3,430.00","3,343.25","","0.04%"
"02/27/2017","3,426.00","3,319.80","3,426.00","3,317.50","","3.20%"
"02/26/2017","3,319.80","3,319.80","3,319.80","3,319.80","","-1.71%"
"02/24/2017","3,377.50","3,372.50","3,380.00","3,298.40","","0.15%"
"02/23/2017","3,372.50","3,370.00","3,375.00","3,288.50","","0.07%"
"02/22/2017","3,370.00","3,302.40","3,375.00","3,299.60","","2.05%"
"02/21/2017","3,302.40","3,306.80","3,371.00","3,302.40","","-0.13%"
"02/20/2017","3,306.80","3,314.45","3,314.45","3,302.10","","-0.23%"
"02/19/2017","3,314.45","3,314.45","3,314.45","3,314.45","","-0.47%"
"02/17/2017","3,330.00","3,293.10","3,330.00","3,293.10","","1.12%"
"02/16/2017","3,293.10","3,297.85","3,330.00","3,290.15","","-0.14%"
"02/15/2017","3,297.85","3,325.70","3,330.00","3,297.85","","-0.84%"
"02/14/2017","3,325.70","3,324.15","3,330.00","3,309.55","","0.05%"
"02/13/2017","3,324.15","3,284.50","3,330.00","3,284.50","","1.21%"
"02/12/2017","3,284.50","3,284.50","3,284.50","3,284.50","","-1.07%"
"02/10/2017","3,320.00","3,295.55","3,320.00","3,286.90","","0.74%"
"02/09/2017","3,295.55","3,275.65","3,315.00","3,275.65","","0.61%"
"02/08/2017","3,275.65","3,291.40","3,315.00","3,275.65","","-0.48%"
"02/07/2017","3,291.40","3.00","3,315.00","3.00","","109,613.33%"
"02/06/2017","3.00","3,226.25","3,315.00","3.00","","-99.91%"
"02/05/2017","3,226.25","3,226.25","3,226.25","3,226.25","","-1.94%"
"02/03/2017","3,290.00","3,297.00","3,297.00","3,242.20","","-0.21%"
"02/02/2017","3,297.00","3,263.15","3,297.00","3,247.00","","1.04%"
"02/01/2017","3,263.15","3,242.00","3,295.00","3,241.50","","0.65%"
"01/31/2017","3,242.00","3,248.50","3,254.35","3,242.00","","-0.20%"
"01/30/2017","3,248.50","3,260.20","3,277.50","3,248.50","","-0.36%"
"01/29/2017","3,260.20","3,260.20","3,260.20","3,260.20","","-0.53%"
"01/27/2017","3,277.50","3,280.65","3,282.50","3,264.15","","-0.10%"
"01/26/2017","3,280.65","3,271.05","3,285.00","3,266.75","","0.29%"
"01/25/2017","3,271.05","3,280.00","3,285.00","3,270.90","","-0.27%"
"01/24/2017","3,280.00","3,253.90","3,282.50","32.61","","0.80%"
"01/23/2017","3,253.90","3,233.60","3,285.00","3,220.40","","0.63%"
"01/22/2017","3,233.60","3,233.60","3,233.60","3,233.60","","-1.04%"
"01/20/2017","3,267.50","3,255.85","3,270.00","3,251.90","","0.36%"
"01/19/2017","3,255.85","3,270.00","3,275.00","3,255.55","","-0.43%"
"01/18/2017","3,270.00","3,275.00","3,275.00","3,250.05","","-0.15%"
"01/17/2017","3,275.00","3,248.15","3,275.00","3,247.30","","0.83%"
"01/16/2017","3,248.15","3,238.10","3,270.00","3,238.10","","0.31%"
"01/15/2017","3,238.10","3,238.10","3,238.10","3,238.10","","-0.67%"
"01/13/2017","3,260.00","3,253.50","3,260.00","3,236.80","","0.20%"
"01/12/2017","3,253.50","3,226.35","3,260.00","3,225.80","","0.84%"
"01/11/2017","3,226.35","3,250.25","3,250.25","3,226.35","","-0.74%"
"01/10/2017","3,250.25","3,181.85","3,250.25","3,180.05","","2.15%"
"01/09/2017","3,181.85","3,216.30","3,216.30","3,181.85","","-1.07%"
"01/08/2017","3,216.30","3,216.30","3,216.30","3,216.30","","-1.22%"
"01/06/2017","3,256.00","3,170.90","3,256.00","3,170.90","","2.68%"
"01/05/2017","3,170.90","3,182.95","3,201.85","3,168.95","","-0.38%"
"01/04/2017","3,182.95","3,196.50","3,201.75","3,182.95","","-0.42%"
"01/03/2017","3,196.50","3,205.00","3,206.25","3,196.50","","-0.27%"
"01/02/2017","3,205.00","3,215.85","3,215.85","3,203.10","","-0.34%"
"01/01/2017","3,215.85","3,215.85","3,215.85","3,215.85","","0.40%"
"12/30/2016","3,203.00","3,194.00","3,203.00","3,175.80","","0.28%"
"12/29/2016","3,194.00","3,205.90","3,245.00","3,194.00","","-0.37%"
"12/28/2016","3,205.90","3,202.45","3,206.40","3,200.55","","0.11%"
"12/27/2016","3,202.45","3,203.35","3,207.10","3,202.45","","-0.03%"
"12/26/2016","3,203.35","3,205.15","3,205.15","3,203.35","","-0.06%"
"12/25/2016","3,205.15","3,205.15","3,205.15","3,205.15","","-0.92%"
"12/23/2016","3,235.00","3,208.15","3,236.00","3,205.50","","0.84%"
"12/22/2016","3,208.15","3,198.55","3,237.00","3,195.95","","0.30%"
"12/21/2016","3,198.55","3,209.10","3,240.00","3,197.65","","-0.33%"
"12/20/2016","3,209.10","3,226.45","3,240.00","3,209.10","","-0.54%"
"12/19/2016","3,226.45","3,194.10","3,237.00","3,189.15","","1.01%"
"12/18/2016","3,194.10","3,194.10","3,194.10","3,194.10","","-0.97%"
"12/16/2016","3,225.50","3,201.80","3,225.50","3,192.80","","0.74%"
"12/15/2016","3,201.80","3,235.35","3,249.55","3,198.45","","-1.04%"
"12/14/2016","3,235.35","3,198.65","3,235.35","3,198.00","","1.15%"
"12/13/2016","3,198.65","3,195.05","3,222.50","3,193.80","","0.11%"
"12/12/2016","3,195.05","3,179.25","3,222.50","3,177.80","","0.50%"
"12/11/2016","3,179.25","3,179.25","3,179.25","3,179.25","","-0.96%"
"12/09/2016","3,210.00","3,226.05","3,226.05","3,177.05","","-0.50%"
"12/08/2016","3,226.05","3,167.60","3,226.05","3,167.60","","1.85%"
"12/07/2016","3,167.60","3,155.25","3,200.00","3,155.25","","0.39%"
"12/06/2016","3,155.25","3,130.85","3,206.00","3,130.85","","0.78%"
"12/05/2016","3,130.85","3,145.00","3,205.00","3,130.85","","-0.45%"
"12/04/2016","3,145.00","3,145.00","3,145.00","3,145.00","","-1.41%"
"12/02/2016","3,190.00","3,139.90","3,190.00","3,139.70","","1.60%"
"12/01/2016","3,139.90","3,187.50","3,190.00","3,139.90","","-1.49%"
"11/30/2016","3,187.50","3,135.60","3,190.00","3,135.60","","1.66%"
"11/29/2016","3,135.60","3,152.65","3,192.50","3,135.25","","-0.54%"
"11/28/2016","3,152.65","3,152.65","3,192.50","3,135.80","","0.00%"
"11/27/2016","3,152.65","3,152.65","3,152.65","3,152.65","","-0.55%"
"11/25/2016","3,170.00","3,159.85","3,170.50","3,153.35","","0.32%"
"11/24/2016","3,159.95","3,181.00","3,184.20","3,154.80","","-0.66%"
"11/23/2016","3,181.00","3,158.55","3,181.50","3,158.55","","0.71%"
"11/22/2016","3,158.55","3,157.40","3,170.00","3,156.00","","0.04%"
"11/21/2016","3,157.40","3,141.45","3,170.00","3,138.90","","0.51%"
"11/20/2016","3,141.45","3,141.45","3,141.45","3,141.45","","-0.27%"
"11/18/2016","3,150.00","3,167.65","3,170.60","3,131.25","","-0.56%"
"11/17/2016","3,167.65","3,116.40","3,167.65","3,115.20","","1.64%"
